node_id,wse_ref_raw,wse_mad,width_med,n_obs,dist_out_km,river,wse_ref
81340100060471,2.66105,0.6458399999999997,359.685021,75,81.32737045416441,Noatak,2.66105
81340100060481,2.700525,0.6052649999999999,406.619162,70,81.52754287652103,Noatak,2.700525
81340100060491,2.89411,0.520715,454.964482,70,81.72755541924644,Noatak,2.89411
81340100060501,2.95023,0.4496549999999999,485.74451350000004,62,81.92004677224487,Noatak,2.92872
81340100060511,2.92872,0.43005000000000004,558.744483,64,82.11810516271326,Noatak,2.95023
81340100060521,3.08257,0.58335,904.8314625,66,82.33098633120103,Noatak,3.08257
81340100060531,3.10915,0.64235,263.477473,71,82.53331309047843,Noatak,3.10915
81340100060541,3.21448,0.6750799999999999,241.333221,79,82.73333418578763,Noatak,3.14917
81340100060551,3.14917,0.60615,270.540943,79,82.93306384649603,Noatak,3.21448
81340100060561,3.276065,0.6410499999999999,341.5580455,86,83.12980187372479,Noatak,3.276065
81340100060571,3.38837,0.6715950000000002,452.7986565,86,83.32854430724689,Noatak,3.38837
81340100060581,3.482235,0.7034700000000003,675.149028,82,83.52149300853607,Noatak,3.482235
81340100060591,3.55733,0.66038,735.827749,81,83.72210883665372,Noatak,3.55733
81340100060601,3.67806,0.7351999999999999,587.55689,75,83.93103043454445,Noatak,3.67806
81340100060611,3.767875,0.6637250000000001,287.46065799999997,76,84.13001019137373,Noatak,3.767875
81340100060621,3.807445,0.6651750000000001,259.9007775,74,84.33818246441629,Noatak,3.807445
81340100060631,3.97163,0.665035,214.18296700000002,76,84.54922797773087,Noatak,3.9372350000000003
81340100060641,3.965245,0.63811,257.79821400000003,76,84.73569079996271,Noatak,3.965245
81340100060651,3.9372350000000003,0.6402549999999998,314.731018,80,84.93283203924472,Noatak,3.97163
81340100060661,4.057145,0.6245200000000002,324.47253750000004,80,85.1449779756319,Noatak,4.057145
81340100060671,4.21523,0.6720700000000002,338.924552,73,85.34461283780014,Noatak,4.14055
81340100060681,4.21927,0.5718000000000005,295.340966,83,85.54626226814345,Noatak,4.18674
81340100060691,4.18674,0.4241199999999994,355.790684,87,85.74571521962709,Noatak,4.18674
81340100060701,4.14055,0.4584600000000001,337.420149,93,85.94374791986371,Noatak,4.21523
81340100060711,4.18674,0.445295,401.938992,90,86.14207778395911,Noatak,4.21927
81340100060721,4.274295,0.43976999999999933,593.8810635,84,86.34156352144262,Noatak,4.25638
81340100060731,4.41118,0.44228999999999985,753.245657,81,86.55605398237117,Noatak,4.274295
81340100060741,4.55908,0.41113,775.459875,81,86.756101287909,Noatak,4.41118
81340100060751,4.648155,0.5155349999999999,1128.674186,78,86.94476060756261,Noatak,4.48558
81340100060761,4.48558,0.29190000000000005,435.506352,75,87.14843075011692,Noatak,4.55908
81340100060771,4.25638,0.3367300000000002,163.33538,73,87.34904563813039,Noatak,4.624045
81340100060781,4.624045,0.2585250000000001,4.729836000000001,46,87.5476397526648,Noatak,4.648155
81340100060791,5.72279,0.40505000000000013,9.483007,33,87.76067699745754,Noatak,4.92024
81340100060801,5.07073,0.5626799999999994,10.32116,47,87.95811523354692,Noatak,4.97269
81340100060811,4.97269,0.5509300000000001,408.354345,81,88.1552563072364,Noatak,5.07073
81340100060821,4.92024,0.5951599999999999,613.253396,79,88.3679963660773,Noatak,5.07157
81340100060831,5.07157,0.5186699999999993,381.570748,83,88.56543457000876,Noatak,5.19679
81340100060841,5.2387250000000005,0.6403200000000004,419.984383,82,88.7500645576219,Noatak,5.22341
81340100060851,5.40099,0.52515,317.638472,77,88.94786969282703,Noatak,5.2387250000000005
81340100060861,5.19679,0.5919400000000001,228.98097,67,89.16161644060885,Noatak,5.26293
81340100060871,5.22341,0.7046600000000005,440.884311,61,89.3732423877071,Noatak,5.30594
81340100060881,5.33279,0.7985600000000002,521.300303,69,89.56270805613212,Noatak,5.33279
81340100060891,5.26293,0.6051200000000003,446.701018,73,89.7485009521504,Noatak,5.335955
81340100060901,5.335955,0.4931049999999999,421.5942575,84,89.94777888435878,Noatak,5.40099
81340100060911,5.30594,0.3999800000000002,204.657478,79,90.16455520586074,Noatak,5.72279
81340100060921,7.203105,0.43029999999999946,43.747447,12,90.3786560003208,Noatak,6.30757
81340100060931,7.522679999999999,0.6106749999999996,2.5655385,12,90.56959440890752,Noatak,6.33236
81340100060941,7.47865,0.22744500000000034,25.4243595,14,90.78226933938265,Noatak,6.360609999999999
81340100070011,6.38009,0.5735700000000001,15.923178,73,90.99233540875997,Noatak,6.38009
81340100070021,6.30757,0.7160200000000003,136.257263,81,91.17239204596605,Noatak,6.47492
81340100070031,6.360609999999999,0.5298299999999996,707.591309,88,91.36834485839557,Noatak,6.482925
81340100070041,6.33236,0.5879699999999994,277.082927,85,91.57989668868913,Noatak,6.550280000000001
81340100070051,6.482925,0.57924,649.138222,84,91.77555233823995,Noatak,6.68874
81340100070061,6.550280000000001,0.6593299999999997,524.3646309999999,86,91.97061368325816,Noatak,6.795825
81340100070071,6.47492,0.6520400000000004,332.368129,89,92.16858105015058,Noatak,6.8047450000000005
81340100070081,6.68874,0.5894550000000001,434.2847025,90,92.36516777473634,Noatak,6.89359
81340100070091,6.8047450000000005,0.6049950000000006,365.9182005,90,92.55974610801375,Noatak,6.9666
81340100070101,6.795825,0.5285349999999998,450.07785750000005,90,92.76424756935043,Noatak,7.078525
81340100070111,6.89359,0.6143799999999997,847.665775,91,92.96397718938816,Noatak,7.078525
81340100070121,6.9666,0.68485,1443.532573,95,93.1657113470599,Noatak,7.078525
81340100070131,7.078525,0.5040899999999997,1318.781195,92,93.36744554953238,Noatak,7.078525
81340100070141,7.161614999999999,0.5000100000000001,1103.1418525,92,93.56202415663364,Noatak,7.161614999999999
81340100070151,7.32468,0.5730899999999997,782.6251685,96,93.77887310286995,Noatak,7.32468
81340100070161,7.36619,0.5278499999999999,692.244983,97,93.97822370152072,Noatak,7.36619
81340100070171,7.55314,0.5108149999999996,527.1721795,96,94.17757434848875,Noatak,7.515140000000001
