time,chl,n_valid,region
2019-05-21 12:00:00,,0,Hotham Inlet
2019-05-28 12:00:00,42.93748,45,Hotham Inlet
2019-06-04 12:00:00,,0,Hotham Inlet
2019-06-11 12:00:00,49.29917,45,Hotham Inlet
2019-06-18 12:00:00,26.87015,25,Hotham Inlet
2019-06-25 12:00:00,60.528183,36,Hotham Inlet
2019-07-02 12:00:00,,0,Hotham Inlet
2019-07-09 12:00:00,49.574577,28,Hotham Inlet
2019-07-16 12:00:00,49.252125,28,Hotham Inlet
2019-07-23 12:00:00,,0,Hotham Inlet
2019-07-30 12:00:00,52.363155,41,Hotham Inlet
2019-08-06 12:00:00,59.713303,32,Hotham Inlet
2019-08-13 12:00:00,36.149338,41,Hotham Inlet
2019-08-20 12:00:00,38.183773,43,Hotham Inlet
2019-08-27 12:00:00,20.39425,26,Hotham Inlet
2019-09-03 12:00:00,,0,Hotham Inlet
2019-09-10 12:00:00,21.17665,49,Hotham Inlet
2019-09-17 12:00:00,26.52621,47,Hotham Inlet
2019-09-24 12:00:00,18.602947,36,Hotham Inlet
2019-10-01 12:00:00,,0,Hotham Inlet
2019-10-08 12:00:00,,0,Hotham Inlet
2019-10-15 12:00:00,,0,Hotham Inlet
2019-10-22 12:00:00,,0,Hotham Inlet
2019-10-29 12:00:00,,0,Hotham Inlet
2019-11-05 12:00:00,,0,Hotham Inlet
2019-11-12 12:00:00,,0,Hotham Inlet
2019-11-19 12:00:00,,0,Hotham Inlet
2019-11-26 12:00:00,,0,Hotham Inlet
2019-12-03 12:00:00,,0,Hotham Inlet
2019-12-10 12:00:00,,0,Hotham Inlet
2019-12-17 12:00:00,,0,Hotham Inlet
2019-12-24 12:00:00,,0,Hotham Inlet
2020-01-01 12:00:00,,0,Hotham Inlet
2020-01-08 12:00:00,,0,Hotham Inlet
2020-01-15 12:00:00,,0,Hotham Inlet
2020-01-22 12:00:00,,0,Hotham Inlet
2020-01-29 12:00:00,,0,Hotham Inlet
2020-02-05 12:00:00,,0,Hotham Inlet
2020-02-12 12:00:00,,0,Hotham Inlet
2020-02-19 12:00:00,,0,Hotham Inlet
2020-02-26 12:00:00,,0,Hotham Inlet
2020-03-04 12:00:00,,0,Hotham Inlet
2020-03-11 12:00:00,,0,Hotham Inlet
2020-03-18 12:00:00,,0,Hotham Inlet
2020-03-25 12:00:00,,0,Hotham Inlet
2020-04-01 12:00:00,,0,Hotham Inlet
2020-04-08 12:00:00,,0,Hotham Inlet
2020-04-15 12:00:00,,0,Hotham Inlet
2020-04-22 12:00:00,,0,Hotham Inlet
2020-04-29 12:00:00,,0,Hotham Inlet
2020-05-06 12:00:00,,0,Hotham Inlet
2020-05-13 12:00:00,,0,Hotham Inlet
2020-05-20 12:00:00,,0,Hotham Inlet
2020-05-27 12:00:00,4.674095,26,Hotham Inlet
2020-06-03 12:00:00,,0,Hotham Inlet
2020-06-10 12:00:00,,0,Hotham Inlet
2020-06-17 12:00:00,20.21553,41,Hotham Inlet
2020-06-24 12:00:00,16.677057,41,Hotham Inlet
2020-07-01 12:00:00,21.273811,45,Hotham Inlet
2020-07-08 12:00:00,,0,Hotham Inlet
2020-07-15 12:00:00,,1,Hotham Inlet
2020-07-22 12:00:00,,0,Hotham Inlet
2020-07-29 12:00:00,22.46138,45,Hotham Inlet
2020-08-05 12:00:00,15.828123,42,Hotham Inlet
2020-08-12 12:00:00,14.964081,47,Hotham Inlet
2020-08-19 12:00:00,16.528988,52,Hotham Inlet
2020-08-26 12:00:00,16.744614,42,Hotham Inlet
2020-09-02 12:00:00,5.7877564,31,Hotham Inlet
2020-09-09 12:00:00,,3,Hotham Inlet
2020-09-16 12:00:00,13.159658,39,Hotham Inlet
2020-09-23 12:00:00,13.5131035,56,Hotham Inlet
2020-09-30 12:00:00,,0,Hotham Inlet
2020-10-07 12:00:00,,0,Hotham Inlet
2020-10-14 12:00:00,,0,Hotham Inlet
2020-10-21 12:00:00,,0,Hotham Inlet
2020-10-28 12:00:00,,0,Hotham Inlet
2020-11-04 12:00:00,,0,Hotham Inlet
2020-11-11 12:00:00,,0,Hotham Inlet
2020-11-18 12:00:00,,0,Hotham Inlet
2020-11-25 12:00:00,,0,Hotham Inlet
2020-12-02 12:00:00,,0,Hotham Inlet
2020-12-09 12:00:00,,0,Hotham Inlet
2020-12-16 12:00:00,,0,Hotham Inlet
2020-12-23 12:00:00,,0,Hotham Inlet
2021-01-01 12:00:00,,0,Hotham Inlet
2021-01-08 12:00:00,,0,Hotham Inlet
2021-01-15 12:00:00,,0,Hotham Inlet
2021-01-22 12:00:00,,0,Hotham Inlet
2021-01-29 12:00:00,,0,Hotham Inlet
2021-02-05 12:00:00,,0,Hotham Inlet
2021-02-12 12:00:00,,0,Hotham Inlet
2021-02-19 12:00:00,,0,Hotham Inlet
2021-02-26 12:00:00,,0,Hotham Inlet
2021-03-05 12:00:00,,0,Hotham Inlet
2021-03-12 12:00:00,,0,Hotham Inlet
2021-03-19 12:00:00,,0,Hotham Inlet
2021-03-26 12:00:00,,0,Hotham Inlet
2021-04-02 12:00:00,,0,Hotham Inlet
2021-04-09 12:00:00,,0,Hotham Inlet
2021-04-16 12:00:00,,0,Hotham Inlet
2021-04-23 12:00:00,,0,Hotham Inlet
2021-04-30 12:00:00,,0,Hotham Inlet
2021-05-07 12:00:00,,0,Hotham Inlet
2021-05-14 12:00:00,,0,Hotham Inlet
2021-05-21 12:00:00,6.0314455,14,Hotham Inlet
2021-05-28 12:00:00,6.5436225,40,Hotham Inlet
2021-06-04 12:00:00,6.400414,35,Hotham Inlet
2021-06-11 12:00:00,11.350817,50,Hotham Inlet
2021-06-18 12:00:00,9.413116,38,Hotham Inlet
2021-06-25 12:00:00,6.8409715,26,Hotham Inlet
2021-07-02 12:00:00,21.314716,11,Hotham Inlet
2021-07-09 12:00:00,9.563781,51,Hotham Inlet
2021-07-16 12:00:00,10.121983,41,Hotham Inlet
2021-07-23 12:00:00,27.178215,17,Hotham Inlet
2021-07-30 12:00:00,11.435425,61,Hotham Inlet
2021-08-06 12:00:00,8.331888,48,Hotham Inlet
2021-08-13 12:00:00,10.401084,48,Hotham Inlet
2021-08-20 12:00:00,11.776923,43,Hotham Inlet
2021-08-27 12:00:00,12.793742,25,Hotham Inlet
2021-09-03 12:00:00,9.44846,47,Hotham Inlet
2021-09-10 12:00:00,8.1781845,26,Hotham Inlet
2021-09-17 12:00:00,12.729907,58,Hotham Inlet
2021-09-24 12:00:00,6.643565,50,Hotham Inlet
2021-10-01 12:00:00,,0,Hotham Inlet
2021-10-08 12:00:00,,0,Hotham Inlet
2021-10-15 12:00:00,,0,Hotham Inlet
2021-10-22 12:00:00,,0,Hotham Inlet
2021-10-29 12:00:00,,0,Hotham Inlet
2021-11-05 12:00:00,,0,Hotham Inlet
