river,time,span_km,n_nodes,d_lo,d_hi,length_km
Selawik,2023-05-25 03:30:51+00:00,135.29382278210312,563,31.00972781802649,162.9013208698383,131.8915930518118
Selawik,2023-05-25 03:30:51+00:00,135.29382278210312,14,163.49253566122692,166.30355060012963,2.8110149389027015
Selawik,2023-05-26 03:21:29+00:00,135.7053214597799,570,30.598229140349716,162.9013208698383,132.30309172948859
Selawik,2023-05-26 03:21:29+00:00,135.7053214597799,14,163.49253566122692,166.30355060012963,2.8110149389027015
Selawik,2023-05-27 03:12:07+00:00,135.9172815843843,506,30.386269015745306,151.2788079674503,120.89253895170498
Selawik,2023-05-27 03:12:07+00:00,135.9172815843843,11,151.89312112103983,156.28222336274894,4.389102241709111
Selawik,2023-05-27 03:12:07+00:00,135.9172815843843,13,156.89221155152393,159.6948137405308,2.802602189006876
Selawik,2023-05-27 03:12:07+00:00,135.9172815843843,14,160.100261650662,162.9013208698383,2.8010592191762953
Selawik,2023-05-28 03:02:45+00:00,135.29382278210312,508,31.00972781802649,150.67036904487517,119.66064122684868
Selawik,2023-05-28 03:02:45+00:00,135.29382278210312,13,153.674878581649,156.28222336274894,2.6073447810999255
Selawik,2023-05-29 02:53:22+00:00,135.29382278210312,511,31.00972781802649,151.47269228591537,120.46296446788888
Selawik,2023-05-29 02:53:22+00:00,135.29382278210312,13,153.674878581649,156.28222336274894,2.6073447810999255
Selawik,2023-05-30 02:44:00+00:00,135.7053214597799,478,34.409313077201574,145.47290284976057,111.063589772559
Selawik,2023-05-30 02:44:00+00:00,135.7053214597799,21,145.86174683810188,150.67036904487517,4.808622206773293
Selawik,2023-05-31 02:34:38+00:00,135.29382278210312,479,31.00972781802649,142.68097063857243,111.67124282054594
Selawik,2023-05-31 02:34:38+00:00,135.29382278210312,13,153.083603314958,156.07832369199616,2.9947203770381634
Selawik,2023-06-01 02:25:16+00:00,135.29382278210312,466,31.00972781802649,139.2959513335988,108.2862235155723
Selawik,2023-06-01 02:25:16+00:00,135.29382278210312,10,139.67738944861912,142.28202089970495,2.6046314510858224
Selawik,2023-06-02 02:15:53+00:00,136.106303050124,222,30.197247550005617,82.44078347586172,52.24353592585611
Selawik,2023-06-02 02:15:53+00:00,136.106303050124,218,82.83953229409117,136.5052388933931,53.66570659930194
Selawik,2023-06-03 02:06:31+00:00,135.7053214597799,215,30.598229140349716,82.44078347586172,51.842554335512006
Selawik,2023-06-03 02:06:31+00:00,135.7053214597799,35,82.83953229409117,90.99917114548502,8.15963885139385
Selawik,2023-06-03 02:06:31+00:00,135.7053214597799,74,93.38064323140856,111.14758736915715,17.766944137748595
Selawik,2023-06-03 02:06:31+00:00,135.7053214597799,28,111.5425819001898,117.88794516127876,6.345363261088963
Selawik,2023-06-04 01:57:09+00:00,135.08383722594812,93,31.00972781802649,53.97595433134205,22.96622651331556
